Signature;reachable;found
"<io.netty.buffer.FixedCompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.FixedCompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.FixedCompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.FixedCompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.FixedCompositeByteBuf: java.nio.ByteBuffer[] nioBuffers(int,int)>";0;1
"<io.netty.buffer.EmptyByteBuf: long memoryAddress()>";0;1
"<io.netty.buffer.EmptyByteBuf: long memoryAddress()>";0;1
"<io.netty.buffer.EmptyByteBuf: long memoryAddress()>";0;1
"<io.netty.handler.codec.socksx.v4.Socks4ClientDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v4.Socks4ClientDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.socksx.v4.Socks4ClientDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.ByteToMessageDecoder: void callDecode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.ByteToMessageDecoder: void callDecode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.ByteToMessageDecoder: void callDecode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.compression.LzfDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.compression.LzfDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.compression.LzfDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
"<io.netty.handler.codec.http.HttpObjectDecoder: void decode(io.netty.channel.ChannelHandlerContext,io.netty.buffer.ByteBuf,java.util.List)>";0;1
